Rang;Reseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
17;Metro;ESPLANADE DE LA DEFENSE;10280556;1;;;;;Puteaux;
101;Metro;GUY MOQUET;4577860;13;;;;;Paris;17
151;Metro;SENTIER;3509454;3;;;;;Paris;3
207;Metro;LIBERTE;2581261;8;;;;;Charenton;
240;Metro;SAINT-JACQUES;2112450;6;;;;;Paris;13
248;Metro;EXELMANS;2029772;9;;;;;Paris;16
283;Metro;MIRABEAU;1371020;10;;;;;Paris;16
5;Metro;GARE DE L'EST;20377794;4;5;7;;;Paris;10
20;Metro;AUSTERLITZ;9295236;5;10;;;;Paris;13
90;Metro;CHARLES MICHELS;4851393;10;;;;;Paris;15
105;Metro;LAUMIERE;4422042;5;;;;;Paris;19
164;Metro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3251160;8;;;;;Maisons -Alfort;
171;Metro;CHEVALERET;3105942;6;;;;;Paris;13
178;Metro;ETIENNE-MARCEL;3033877;4;;;;;Paris;1
189;Metro;SAINT-AUGUSTIN;2921864;9;;;;;Paris;8
253;Metro;MICHEL BIZOT;2015679;8;;;;;Paris;12
258;Metro;RICHARD LENOIR;1857473;5;;;;;Paris;11
19;RER;NANTERRE-UNIVERSITE;4674496;A;;;;;Nanterre;
41;RER;BAGNEUX;2153810;B;;;;;Cachan;
10;RER;NOISY-LE-GRAND-MONT D'EST;7375462;A;;;;;Noisy-le-Grand;
31;RER;PORT ROYAL;3361591;B;;;;;Paris;5
59;RER;GIF-SUR-YVETTE;735448;B;;;;;Gif sur Yvette;
257;Metro;PORTE D'IVRY;1865805;7;;;;;Paris;13
48;RER;ROBINSON;2002299;B;;;;;Sceaux;
65;RER;PARC DE SCEAUX;564320;B;;;;;Antony;
91;Metro;PASTEUR;4849120;6;12;;;;Paris;9
108;Metro;PORTE DE BAGNOLET;4390819;3;;;;;Paris;20
291;Metro;ASSEMBLEE NATIONALE;1126803;12;;;;;Paris;7
49;RER;LA VARENNE-CHENNEVIERES;1843351;A;;;;;saint-Maur des Fosses;
40;Metro;GRANDS BOULEVARDS (RUE MONTMARTRE);6921912;8;9;;;;Paris;9
52;Metro;MARCADET-POISSONNIERS;6434442;4;12;;;;Paris;18
55;Metro;CONCORDE;6336283;1;8;12;;;Paris;8
83;Metro;PYRAMIDES;5054993;7;14;;;;Paris;1
153;Metro;CORENTIN-CELTON;3447746;12;;;;;Issy Les Moulineaux;
158;Metro;TOLBIAC;3371035;7;;;;;Paris;13
275;Metro;PONT-NEUF (LA MONNAIE);1626784;7;;;;;Paris;4
278;Metro;VARENNE;1499399;13;;;;;Paris;7
11;Metro;CHATELET;13391819;1;4;7;11;14;Paris;1
67;Metro;REUILLY-DIDEROT;5778841;1;8;;;;Paris;12
38;RER;FONTENAY-SOUS-BOIS;2448717;A;;;;;Fontenay-sous-Bois;
145;Metro;CENSIER-DAUBENTON;3575817;7;;;;;Paris;6
169;Metro;FAIDHERBE-CHALIGNY;3130250;8;;;;;Paris;12
177;Metro;PORTE DE LA CHAPELLE;3049825;12;;;;;Paris;18
182;Metro;BILLANCOURT;2992265;9;;;;;Boulogne Billancourt;
184;Metro;COURONNES;2979584;2;;;;;Paris;11
216;Metro;ABBESSES;2417881;12;;;;;Paris;18
230;Metro;SEVRES-LECOURBE;2299402;6;;;;;Paris;15
33;RER;ARCUEIL-CACHAN;3068459;B;;;;;Arcueil;
45;Metro;MAIRIE DE MONTREUIL;6642631;9;;;;;Montreuil;
146;Metro;POISSONNIERE;3570452;7;;;;;Paris;10
147;Metro;LES GOBELINS;3562482;7;;;;;Paris;13
